mutants,replicate,ADbyAB
T0,1st,2.52891E-05
T0,1st,1.00492E-05
T0,1st,1.66797E-05
T20,1st,3.95508E-05
T20,1st,4.16847E-05
T20,1st,3.51801E-05
T20_CSP,1st,6.3607E-05
T20_CSP,1st,3.54545E-05
T20_CSP,1st,6.45587E-05
T20_MMC,1st,6.31183E-05
T20_MMC,1st,5.91676E-05
T20_MMC,1st,7.45813E-05
T60,1st,1.85139E-05
T60,1st,1.81988E-05
T60,1st,1.46966E-05
T60_CSP,1st,0.000218705
T60_CSP,1st,0.000200199
T60_CSP,1st,0.000228382
T60_MMC,1st,1.97016E-05
T60_MMC,1st,1.14347E-05
T60_MMC,1st,1.34116E-05
T120,1st,7.70021E-05
T120,1st,8.77578E-05
T120,1st,8.4937E-05
T120_CSP,1st,4.43642E-05
T120_CSP,1st,3.99466E-05
T120_CSP,1st,3.62076E-05
T120_MMC,1st,2.91893E-05
T120_MMC,1st,2.40805E-05
T120_MMC,1st,1.90677E-05
T0,2nd,0.009254323
T0,2nd,0.01132677
T0,2nd,0.009594168
T20,2nd,0.00433732
T20,2nd,0.004478537
T20,2nd,0.004360234
T20_CSP,2nd,0.004311116
T20_CSP,2nd,0.004347317
T20_MMC,2nd,0.017285566
T20_MMC,2nd,0.018441205
T20_MMC,2nd,0.018111529
T60,2nd,0.003655166
T60,2nd,0.003877745
T60,2nd,0.003752593
T60_CSP,2nd,0.003071381
T60_CSP,2nd,0.002688092
T60_CSP,2nd,0.002429868
T60_MMC,2nd,0.002066412
T60_MMC,2nd,0.001662356
T60_MMC,2nd,0.001634365
T120,2nd,0.002601991
T120,2nd,0.002798118
T120,2nd,0.002622993
T120_CSP,2nd,0.001093012
T120_CSP,2nd,0.001104008
T120_CSP,2nd,0.00101848
T120_MMC,2nd,0.002373459
T120_MMC,2nd,0.002479939
T120_MMC,2nd,0.002167276
T0,3rd,0.000596452
T0,3rd,0.000584639
T0,3rd,0.000623932
T20,3rd,0.000775617
T20,3rd,0.000691938
T20,3rd,0.000703466
T20_CSP,3rd,0.000844483
T20_CSP,3rd,0.000393667
T20_CSP,3rd,0.000410014
T20_MMC,3rd,0.000411824
T20_MMC,3rd,0.000374054
T20_MMC,3rd,0.001155815
T60,3rd,0.000109588
T60,3rd,0.000170517
T60,3rd,0.000114526
T60_CSP,3rd,0.00041139
T60_CSP,3rd,0.000158049
T60_CSP,3rd,0.00080729
T60_MMC,3rd,0.000129129
T60_MMC,3rd,0.000147866
T60_MMC,3rd,0.000128366
T120,3rd,0.000609297
T120,3rd,0.000619131
T120,3rd,0.000607418
T120_CSP,3rd,7.19909E-05
T120_CSP,3rd,0.000101498
T120_CSP,3rd,4.7387E-05
T120_MMC,3rd,0.000148811
T120_MMC,3rd,0.000124489
T120_MMC,3rd,0.000168206
